Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
999999,108793,414289,Greek,29510,ἀπεκδυσάμενος,apekdysamenos,V-APM-NMS,Verb - Aorist Participle Middle - Nominative Masculine Singular,554,Colossians 2:15,,, [And] having disarmed ,,"To strip, divest, renounce. Middle voice from apo and ekduo; to divest wholly oneself, or despoil."
999999,108794,414290,Greek,29510,τὰς,tas,Art-AFP,Article - Accusative Feminine Plural,3588,,,, the ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,108795,414291,Greek,29510,ἀρχὰς,archas,N-AFP,Noun - Accusative Feminine Plural,746,,,, powers ,,"From archomai; a commencement, or chief."
999999,108796,414292,Greek,29510,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,108797,414293,Greek,29510,τὰς,tas,Art-AFP,Article - Accusative Feminine Plural,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,108798,414294,Greek,29510,ἐξουσίας,exousias,N-AFP,Noun - Accusative Feminine Plural,1849,,,," authorities , ",,"From exesti; privilege, i.e. force, capacity, competency, freedom, or mastery, delegated influence."
999999,108799,414295,Greek,29510,ἐδειγμάτισεν,edeigmatisen,V-AIA-3S,Verb - Aorist Indicative Active - 3rd Person Singular,1165,,,, He made a public spectacle [of them] ,,"To hold up as an example, make a show of, expose. From deigma; to exhibit."
999999,108800,414296,Greek,29510,ἐν,en,Prep,Preposition,1722,,,, . . . ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,108801,414297,Greek,29510,παρρησίᾳ,parrēsia,N-DFS,Noun - Dative Feminine Singular,3954,,,," . . . , ",,"From pas and a derivative of rheo; all out-spokenness, i.e. Frankness, bluntness, publicity; by implication, assurance."
999999,108802,414298,Greek,29510,θριαμβεύσας,thriambeusas,V-APA-NMS,Verb - Aorist Participle Active - Nominative Masculine Singular,2358,,,, triumphing ,,"(properly: I lead one as my prisoner in a triumphal procession, hence) I lead around, make a show (spectacle) of, cause to triumph. "
999999,108803,414299,Greek,29510,αὐτοὺς,autous,PPro-AM3P,Personal / Possessive Pronoun - Accusative Masculine 3rd Person Plural,846,,,, over them ,,"He, she, it, they, them, same. From the particle au; the reflexive pronoun self, used of the third person, and of the other persons."
999999,108804,414300,Greek,29510,ἐν,en,Prep,Preposition,1722,,,, by ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,108805,414301,Greek,29510,αὐτῷ,autō,PPro-DM3S,Personal / Possessive Pronoun - Dative Masculine 3rd Person Singular,846,,,, [the cross] . ,,"He, she, it, they, them, same. From the particle au; the reflexive pronoun self, used of the third person, and of the other persons."
999999,108807,414302,Greek,29511,οὖν,oun,Conj,Conjunction,3767,Colossians 2:16,,, Therefore ,,"Therefore, then. Apparently a primary word; certainly, or accordingly."
999999,108806,414303,Greek,29511,Μὴ,Mē,Adv,Adverb,3361,,,, {let} no ,,"Not, lest. A primary particle of qualified negation; not, lest; also (whereas ou expects an affirmative one) whether."
999999,108808,414304,Greek,29511,τις,tis,IPro-NMS,Interrogative / Indefinite Pronoun - Nominative Masculine Singular,5100,,,, one ,,"Any one, some one, a certain one or thing. An enclitic indefinite pronoun; some or any person or object."
999999,108810,414305,Greek,29511,κρινέτω,krinetō,V-PMA-3S,Verb - Present Imperative Active - 3rd Person Singular,2919,,,, judge ,,"Properly, to distinguish, i.e. Decide; by implication, to try, condemn, punish."
999999,108809,414306,Greek,29511,ὑμᾶς,hymas,PPro-A2P,Personal / Possessive Pronoun - Accusative 2nd Person Plural,4771,,,, you ,,You. The person pronoun of the second person singular; thou.
999999,108811,414307,Greek,29511,ἐν,en,Prep,Preposition,1722,,,, by ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
